"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/assets/images/style2.svg", "SVG", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/assets/images/styleGLG.svg", "SVG", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/assets/images/text.svg", "SVG", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/ChevellHeader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/Device.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/EssenceOfLove.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 80, 0, 0, 4, 10, 94
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/InherentlyStylish.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/Inspired.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 57, 0, 0, 2, 8, 67
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/StyleGuide.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 71, 0, 0, 12, 4, 87
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/core/ChevellText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/components/responsiveBackground.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 12, 47
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/constants/ChevellColors.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Chevell/types/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/ComingSoon.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Calendar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/BookNow.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 4, 26
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/Creations.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Contact/Components/LetsChat.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
